,county,margin_%,total_votes,population,area,pop_density_sqmi,affiliation_2020,median_household_income,bachelors_or_over_%,age_over_50_%,total_megawatts,project_count,megawatts_per_sqmi,projects_per_100k_people,megwatts_per_1000_people
59,Henry County,-29.11,26105,49385.0,382.0,129.2801047120419,red,48445.0,15.7,47.1,106.0,3.0,0.2774869109947644,6.074719044244204,2.1464007289662854
62,Isle of Wight County,-18.37,23456,40942.0,316.0,129.5632911392405,red,96118.0,29.9,42.9,236.0,4.0,0.7468354430379747,9.769918421181183,5.764251868496898
63,James City County,4.84,49622,82797.0,143.0,579.0,blue,107046.0,50.2,46.8,20.0,1.0,0.13986013986013987,1.2077732284986171,0.24155464569972343
67,Lancaster County,-4.6,7152,11062.0,133.0,83.17293233082707,red,67169.0,37.4,61.2,131.0,1.0,0.9849624060150376,9.03995660820828,11.842343156752847
71,Louisa County,-22.93,21915,42109.0,498.0,84.55622489959839,red,80343.0,27.7,43.9,450.2,4.0,0.9040160642570281,9.499156949820703,10.691301147023202
72,Lunenburg County,-18.65,6000,12060.0,432.0,27.916666666666668,red,54460.0,11.2,44.3,130.0,1.0,0.30092592592592593,8.291873963515755,10.779436152570481
79,Mecklenburg County,-15.2,16204,30824.0,624.0,49.3974358974359,red,51691.0,21.2,48.7,130.0,2.0,0.20833333333333334,6.488450558006748,4.217492862704386
86,Northampton County,10.58,6732,12004.0,207.0,57.990338164251206,blue,55933.0,32.5,52.0,20.0,1.0,0.0966183574879227,8.330556481172943,1.6661112962345885
90,Orange County,-21.37,20742,38986.0,342.0,113.99415204678364,red,94175.0,29.4,41.7,62.5,1.0,0.1827485380116959,2.5650233417124095,1.6031395885702562
94,Pittsylvania County,-39.84,34227,59410.0,978.0,60.74642126789366,red,54115.0,15.4,47.4,230.0,3.0,0.23517382413087934,5.04965494024575,3.871402120855075
97,Powhatan County,-44.28,19730,32392.0,261.0,124.1072796934866,red,110667.0,34.2,43.3,20.0,1.0,0.07662835249042145,3.087182020251914,0.6174364040503828
99,Prince George County,-17.21,17432,43589.0,266.0,163.8684210526316,red,88225.0,24.0,28.5,150.0,1.0,0.5639097744360902,2.294156782674528,3.441235174011792
100,Prince William County,27.03,228056,497003.0,338.0,1470.423076923077,blue,128873.0,44.5,29.4,20.0,1.0,0.05917159763313609,0.2012060289374511,0.040241205787490214
101,Pulaski County,-41.45,17376,33579.0,321.0,104.60747663551402,red,60767.0,21.4,45.8,250.0,2.0,0.778816199376947,5.956103517079127,7.445129396348909
109,Rockingham County,-40.41,43811,87674.0,851.0,103.0246768507638,red,78468.0,28.4,39.4,200.0,2.0,0.23501762632197415,2.2811780003193647,2.2811780003193647
115,Southampton County,-17.99,9786,17941.0,600.0,29.901666666666667,red,68465.0,18.6,46.1,100.0,1.0,0.16666666666666666,5.573825316314587,5.573825316314586
120,Surry County,8.32,4471,6579.0,279.0,23.580645161290324,blue,71458.0,25.4,51.1,150.0,1.0,0.5376344086021505,15.199878400972791,22.79981760145919
121,Sussex County,11.95,5088,10753.0,491.0,21.90020366598778,blue,62821.0,15.8,39.5,138.0,3.0,0.28105906313645623,27.899190923463223,12.833627824793082
127,Westmoreland County,-8.23,9933,19235.0,229.0,83.99563318777292,red,59766.0,19.7,48.7,40.0,2.0,0.17467248908296942,10.397712503249284,2.0795425006498567
131,Wythe County,-57.0,15072,28100.0,463.0,60.69114470842332,red,55359.0,19.7,44.7,95.0,2.0,0.20518358531317496,7.117437722419928,3.380782918149466
