County/City,Joe Biden Democratic,Joe Biden Democratic,Donald Trump Republican,Donald Trump Republican,Various candidates Other parties,Various candidates Other parties,Margin,Margin,Total
Northumberland,3252,41.61%,4485,57.39%,78,1.00%,-1233,-15.78%,7815
Norton,464,28.98%,1109,69.27%,28,1.75%,-645,-40.29%,1601
Nottoway,2971,41.98%,4027,56.89%,80,1.13%,-1056,-14.91%,7078
Orange,7995,38.54%,12426,59.91%,321,1.55%,-4431,-21.37%,20742
Page,3007,24.03%,9345,74.68%,162,1.29%,-6338,-50.65%,12514
Patrick,1954,20.50%,7485,78.51%,95,0.99%,-5531,-58.01%,9534
Petersburg,12389,87.75%,1584,11.22%,145,1.03%,10805,76.53%,14118
Pittsylvania,10115,29.55%,23751,69.39%,361,1.06%,-13636,-39.84%,34227
Poquoson,2054,26.14%,5605,71.34%,198,2.52%,-3551,-45.20%,7857
Portsmouth,30948,69.42%,12755,28.61%,879,1.97%,18193,40.81%,44582
Powhatan,5320,26.96%,14055,71.24%,355,1.80%,-8735,-44.28%,19730
Prince Edward,4973,51.94%,4434,46.31%,167,1.75%,539,5.63%,9574
Prince George,7103,40.75%,10103,57.96%,226,1.29%,-3000,-17.21%,17432
Prince William,142863,62.64%,81222,35.61%,3971,1.74%,61641,27.03%,228056
Pulaski,4925,28.34%,12127,69.79%,324,1.87%,-7202,-41.45%,17376
Radford,3358,53.13%,2786,44.08%,176,2.79%,572,9.05%,6320
Rappahannock,2096,42.11%,2812,56.49%,70,1.40%,-716,-14.38%,4978
Richmond,1513,36.88%,2547,62.09%,42,1.03%,-1034,-25.21%,4102
Richmond City,92175,82.92%,16603,14.94%,2381,2.14%,75572,67.98%,111159
Roanoke,21801,38.12%,34268,59.93%,1115,1.95%,-12467,-21.81%,57184
Roanoke City,26773,61.80%,15607,36.02%,943,2.18%,11166,25.78%,43323
Rockbridge,4086,33.02%,8088,65.37%,199,1.61%,-4002,-32.35%,12373
Rockingham,12644,28.86%,30349,69.27%,818,1.87%,-17705,-40.41%,43811
Russell,2373,17.73%,10879,81.27%,134,1.00%,-8506,-63.54%,13386
Salem,5148,39.45%,7683,58.87%,220,1.68%,-2535,-19.42%,13051
Scott,1692,15.57%,9063,83.38%,114,1.05%,-7371,-67.81%,10869
Shenandoah,6836,28.86%,16463,69.51%,385,1.63%,-9627,-40.65%,23684
Smyth,3008,21.28%,10963,77.55%,165,1.17%,-7955,-56.27%,14136
Southampton,3969,40.56%,5730,58.55%,87,0.89%,-1761,-17.99%,9786
Spotsylvania,34307,45.55%,39411,52.33%,1599,2.12%,-5104,-6.78%,75317
Stafford,40245,50.54%,37636,47.27%,1744,2.19%,2609,3.27%,79625
Staunton,6981,53.74%,5695,43.84%,314,2.42%,1286,9.90%,12990
Suffolk,28676,57.77%,20082,40.45%,884,1.78%,8594,17.32%,49642
Surry,2397,53.61%,2025,45.29%,49,1.10%,372,8.32%,4471
Sussex,2827,55.56%,2219,43.61%,42,0.83%,608,11.95%,5088
Tazewell,3205,15.92%,16731,83.10%,198,0.98%,-13526,-67.18%,20134
Virginia Beach,117393,51.59%,105087,46.18%,5081,2.23%,12306,5.41%,227561
Warren,6603,31.22%,14069,66.53%,475,2.25%,-7466,-35.31%,21147
Washington,6617,23.07%,21679,75.58%,389,1.35%,-15062,-52.51%,28685
Waynesboro,4961,46.29%,5507,51.39%,249,2.32%,-546,-5.10%,10717
Westmoreland,4501,45.31%,5318,53.54%,114,1.15%,-817,-8.23%,9933
Williamsburg,4790,69.59%,1963,28.52%,130,1.89%,2827,41.07%,6883
Winchester,6610,54.60%,5221,43.13%,275,2.27%,1389,11.47%,12106
Wise,3110,18.72%,13366,80.45%,139,0.83%,-10256,-61.73%,16615
Wythe,3143,20.85%,11733,77.85%,196,1.30%,-8590,-57.00%,15072
York,17683,45.59%,20241,52.19%,863,2.22%,-2558,-6.60%,38787
Totals,2413568,54.11%,1962430,44.00%,84526,1.89%,451138,10.11%,4460524
