locality,margin_%,total_votes,population,area,pop_density_sqmi,affiliation_2020,median_household_income,bachelors_or_over_%,age_over_50_%,total_megawatts,project_count,megawatts_per_sqmi,projects_per_100k_people,megawatts_per_100_people
Middlesex County,-25.13,6785,10949.0,130.0,84.22307692307692,red,74154.0,31.6,57.0,0.0,0.0,0.0,0.0,0.0
Montgomery County,5.75,45037,98998.0,388.0,255.14948453608247,blue,70769.0,48.4,28.5,0.0,0.0,0.0,0.0,0.0
Nelson County,-5.2,9316,14766.0,472.0,31.283898305084747,red,68525.0,33.7,51.6,0.0,0.0,0.0,0.0,0.0
New Kent County,-34.64,14463,27218.0,210.0,129.6095238095238,red,120125.0,35.5,40.8,0.0,0.0,0.0,0.0,0.0
Newport News City,32.91,81203,,,,blue,66718.0,29.1,30.7,0.0,0.0,,,
Norfolk City,45.61,89881,,,,blue,64017.0,32.7,28.6,0.0,0.0,,,
Northampton County,10.58,6732,12004.0,207.0,57.990338164251206,blue,55933.0,32.5,52.0,20.0,1.0,0.0966183574879227,8.330556481172943,0.16661112962345886
Northumberland County,-15.78,7815,12397.0,192.0,64.56770833333333,red,69500.0,33.9,60.7,0.0,0.0,0.0,0.0,0.0
Norton City,-40.29,1601,,,,red,38497.0,16.6,38.5,0.0,0.0,,,
Nottoway County,-14.91,7078,15632.0,315.0,49.62539682539683,red,62161.0,16.8,39.4,0.0,0.0,0.0,0.0,0.0
Orange County,-21.37,20742,38986.0,342.0,113.99415204678364,red,94175.0,29.4,41.7,62.5,1.0,0.1827485380116959,2.5650233417124095,0.1603139588570256
Page County,-50.65,12514,23686.0,311.0,76.16077170418006,red,59396.0,15.2,44.5,0.0,0.0,0.0,0.0,0.0
Patrick County,-58.01,9534,17308.0,483.0,35.834368530020704,red,50938.0,15.2,51.4,0.0,0.0,0.0,0.0,0.0
Petersburg City,76.53,14118,,,,blue,50741.0,25.0,36.6,0.0,0.0,,,
Pittsylvania County,-39.84,34227,59410.0,978.0,60.74642126789366,red,54115.0,15.4,47.4,230.0,3.0,0.23517382413087934,5.04965494024575,0.3871402120855075
Poquoson City,-45.2,7857,,,,red,120919.0,40.1,40.0,0.0,0.0,,,
Portsmouth City,40.81,44582,,,,blue,58972.0,23.2,33.0,0.0,0.0,,,
Powhatan County,-44.28,19730,32392.0,261.0,124.1072796934866,red,110667.0,34.2,43.3,20.0,1.0,0.07662835249042145,3.087182020251914,0.06174364040503828
Prince Edward County,5.63,9574,22276.0,353.0,63.10481586402266,blue,55082.0,24.2,32.2,0.0,0.0,0.0,0.0,0.0
Prince George County,-17.21,17432,43589.0,266.0,163.8684210526316,red,88225.0,24.0,28.5,150.0,1.0,0.5639097744360902,2.294156782674528,0.3441235174011792
Prince William County,27.03,228056,497003.0,338.0,1470.423076923077,blue,128873.0,44.5,29.4,20.0,1.0,0.05917159763313609,0.2012060289374511,0.004024120578749022
Pulaski County,-41.45,17376,33579.0,321.0,104.60747663551402,red,60767.0,21.4,45.8,250.0,2.0,0.778816199376947,5.956103517079127,0.7445129396348908
Radford City,9.05,6320,,,,blue,52791.0,39.8,21.8,0.0,0.0,,,
Rappahannock County,-14.38,4978,7479.0,267.0,28.01123595505618,red,98125.0,35.6,50.1,0.0,0.0,0.0,0.0,0.0
Richmond City,-25.21,4102,,,,red,62671.0,44.1,30.8,0.0,0.0,,,
Richmond City County,67.98,111159,,,,blue,,,,0.0,0.0,,,
Roanoke City,-21.81,57184,,,,red,52671.0,28.9,36.1,0.0,0.0,,,
Roanoke City County,25.78,43323,,,,blue,,,,0.0,0.0,,,
Rockbridge County,-32.35,12373,22368.0,600.0,37.28,red,63975.0,31.5,49.6,0.0,0.0,0.0,0.0,0.0
Rockingham County,-40.41,43811,87674.0,851.0,103.0246768507638,red,78468.0,28.4,39.4,200.0,2.0,0.23501762632197415,2.2811780003193647,0.2281178000319365
Russell County,-63.54,13386,25420.0,475.0,53.51578947368421,red,49020.0,14.1,45.7,0.0,0.0,0.0,0.0,0.0
Salem City,-19.42,13051,,,,red,66716.0,31.1,38.9,0.0,0.0,,,
Scott County,-67.81,10869,21388.0,537.0,39.82867783985103,red,45136.0,14.2,47.0,0.0,0.0,0.0,0.0,0.0
Shenandoah County,-40.65,23684,45441.0,512.0,88.751953125,red,64437.0,21.4,42.9,0.0,0.0,0.0,0.0,0.0
Smyth County,-56.27,14136,29137.0,452.0,64.46238938053098,red,46859.0,18.1,44.6,0.0,0.0,0.0,0.0,0.0
Southampton County,-17.99,9786,17941.0,600.0,29.901666666666667,red,68465.0,18.6,46.1,100.0,1.0,0.16666666666666666,5.573825316314587,0.5573825316314587
Spotsylvania County,-6.78,75317,152021.0,401.0,379.1047381546135,red,109576.0,33.8,34.7,0.0,0.0,0.0,0.0,0.0
Stafford County,3.27,79625,168919.0,270.0,625.6259259259259,blue,133792.0,43.3,30.1,0.0,0.0,0.0,0.0,0.0
Staunton City,9.9,12990,,,,blue,62586.0,35.1,39.2,0.0,0.0,,,
Suffolk City,17.32,49642,,,,blue,90089.0,32.4,35.3,20.0,1.0,,,
Surry County,8.32,4471,6579.0,279.0,23.580645161290324,blue,71458.0,25.4,51.1,150.0,1.0,0.5376344086021505,15.199878400972791,2.279981760145919
Sussex County,11.95,5088,10753.0,491.0,21.90020366598778,blue,62821.0,15.8,39.5,138.0,3.0,0.28105906313645623,27.899190923463223,1.2833627824793081
Tazewell County,-67.18,20134,38875.0,520.0,74.75961538461539,red,45788.0,16.4,43.7,0.0,0.0,0.0,0.0,0.0
Virginia Beach City,5.41,227561,,,,blue,90685.0,40.4,33.9,0.0,0.0,,,
Warren County,-35.31,21147,42461.0,214.0,198.4158878504673,red,84331.0,24.5,38.4,0.0,0.0,0.0,0.0,0.0
Washington County,-52.51,28685,54098.0,564.0,95.91843971631204,red,62774.0,26.5,46.4,0.0,0.0,0.0,0.0,0.0
Waynesboro City,-5.1,10717,,,,red,56364.0,26.3,36.5,0.0,0.0,,,
Westmoreland County,-8.23,9933,19235.0,229.0,83.99563318777292,red,59766.0,19.7,48.7,40.0,2.0,0.17467248908296942,10.397712503249284,0.2079542500649857
Williamsburg City,41.07,6883,,,,blue,70206.0,48.5,30.1,0.0,0.0,,,
Winchester City,11.47,12106,,,,blue,64648.0,31.6,35.3,0.0,0.0,,,
Wise County,-61.73,16615,34973.0,403.0,86.78163771712158,red,50740.0,15.6,40.0,0.0,0.0,0.0,0.0,0.0
Wythe County,-57.0,15072,28100.0,463.0,60.69114470842332,red,55359.0,19.7,44.7,95.0,2.0,0.20518358531317496,7.117437722419928,0.33807829181494664
York County,-6.6,38787,71410.0,106.0,673.6792452830189,red,108326.0,50.0,36.6,0.0,0.0,0.0,0.0,0.0
Totals County,10.11,4460524,,,,blue,,,,0.0,0.0,,,
